code,family,family_variant,parent,categories,values,created,updated,associations,quantified_associations
dressshoe,shoes,shoes_size,,"['master_men_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '444.00', 'currency': 'EUR'}]}], 'image': [{'locale': None, 'scope': None, 'data': '4/9/0/6/49062778b3ff0bf9570ad9cf93d38e1f3b8e0b8c_dressshoe.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/4/9/0/6/49062778b3ff0bf9570ad9cf93d38e1f3b8e0b8c_dressshoe.jpg/download'}}}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Dress shoe'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
aphrodite,clothing,clothing_colorsize,,"['master_women_blouses', 'print_clothing', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '700'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '299.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Top Layered Sleeveless gauze snake print'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Aphrodite'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Top Layered Sleeveless gauze snake print. Pleated round neck and drop back closure. · Back length 55.2 cmCes measures are calculated for a size M.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
elegance,shoes,shoes_size,,['master_men_shoes'],"{'color': [{'locale': None, 'scope': None, 'data': 'black'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'image': [{'locale': None, 'scope': None, 'data': 'f/d/c/f/fdcfc238d2005d42a707f6b484b57392c1254bbd_elegance.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/f/d/c/f/fdcfc238d2005d42a707f6b484b57392c1254bbd_elegance.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'elegance'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Elegance'}], 'variation_name': [{'locale': 'en_US', 'scope': None, 'data': 'Elegance'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
eris,clothing,clothing_colorsize,,"['master_women_shirts', 'print_clothing', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '700'}], 'collection': [{'locale': None, 'scope': None, 'data': ['spring_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '399.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Relaxed with a classic or dynamic piec'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Eris'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
galesh,shoes,shoes_size,,"['master_men_shoes', 'print_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '144.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'galesh'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Galesh shoe'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
hades,clothing,clothing_color_size,,"['master_men_pants_jeans', 'print_clothing', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['autumn_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '699.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Elegant slim long sleeve shirt'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Hades'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Elegant slim long sleeve shirt white with button-down collar and breast pocket. 65% polyester, 35% cotton. Machine washable.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
hefaistos,clothing,clothing_colorsize,,"['master_men_pants_shorts', 'supplier_mongo']","{'supplier': [{'locale': None, 'scope': None, 'data': 'mongo'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Jacket and trousers'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Hefaistos'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Jacket and trousers: 39% polyester, 37% acrylic, 15% wool, 7% nylon, 1% cotton, 1% viscose. Dry clean only.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
hera,clothing,clothing_colorsize,,"['master_women_shirts', 'print_clothing', 'supplier_mongo']","{'supplier': [{'locale': None, 'scope': None, 'data': 'mongo'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '400'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '699.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'hera'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Hera'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
hermes,clothing,clothing_colorsize,,"['master_men_blazers', 'supplier_mongo']","{'supplier': [{'locale': None, 'scope': None, 'data': 'mongo'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '800'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '799.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Suit Jacket Heritage multicolored'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Hermes'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Suit Jacket Heritage multicolored checkered Prince of Wales with single breasted 2 button and skinny pants to match.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
hestia,clothing,clothing_colorsize,,"['master_women_blouses_deals', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '700'}], 'collection': [{'locale': None, 'scope': None, 'data': ['winter_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '499.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'hestia'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Hestia'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Model: Model is 180 cm tall and wears a size 36'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
jack,clothing,clothing_color_size,,['tshirts'],"{'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'name': [{'locale': None, 'scope': None, 'data': 'jack'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Jack'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
jellyshoes,shoes,shoes_size,,"['master_women_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'collection': [{'locale': None, 'scope': None, 'data': ['winter_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '176.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'jellyshoes'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Jelly shoe'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
apollon,clothing,clothing_color_size,,"['master_men_blazers_deals', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['winter_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '899.00', 'currency': 'EUR'}]}], 'image': [{'locale': None, 'scope': None, 'data': 'd/8/e/8/d8e8d08937bff6f135c62a9b1df0ac5e443c697b_apollon.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/d/8/e/8/d8e8d08937bff6f135c62a9b1df0ac5e443c697b_apollon.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'Long gray suit jacket and matching pants unstructured'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Apollon'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Long gray suit jacket and matching pants unstructured. 61% wool, 30% polyester, 9% ramie. Dry clean only.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
juno,clothing,clothing_colorsize,,"['master_women_blouses_deals', 'print_clothing', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['spring_2015']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '349.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'juno'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Juno'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Back width: 40 cm in size 36\nModel: Model is 180 cm tall and wears a size 36\nCervical Shape: V-Neck\nPattern / Color: Solid colors\nTotal length: 45 cm in size 36\nTransparency: light\nHandle Type: Sleeveless\nComposition: 100% polyester\nCare instructions: machine wash at 40 ° C, do not put in dryer, washing delicates'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
minerva,clothing,clothing_color_size,,"['master_women_shirts', 'supplier_mongo']","{'supplier': [{'locale': None, 'scope': None, 'data': 'mongo'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['spring_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '799.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'minerva'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Minerva'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Relaxed with a classic or dynamic piece with an extravagant accessory: white blouse with it the Mexx brand, your look will be 100% successful!\n\nLength: normal\nCut: bent\nBack width: 46 cm\nModel: 178 cm\nOccasion: Business\nPattern / Color: Solid colors\nTotal length: 67 cm in size 36\nCol: flared neck\nSleeve length: 63 cm in size 36\nSleeve type: Long Sleeve\nComposition: 67% cotton, 28% polyamide, 5% elastane\nCare instructions: machine wash at 30 ° C'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
moccasin,shoes,shoes_size,,"['master_men_shoes', 'print_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'collection': [{'locale': None, 'scope': None, 'data': ['spring_2015']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '322.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'moccasin'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Moccasin'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
plain,clothing,clothing_color_size,,['tshirts'],"{'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'name': [{'locale': None, 'scope': None, 'data': 'plain'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Plain'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
